,sentiment,content
1096,1,good morning happy mother day everyone
1097,0,heading work friday off
1098,0,alices hey can t make maker tonight
1099,0,sorealcru gloomy la sun nice
1100,0,nicolepenney suck going summer school need catch several unit
1101,1,laptop grew speaker watch charlie sound
1102,1,fonejacker haha know work blip apart obvious thanks reblipping song nice day xxx
1103,0,changed car tire cost bomb
1104,1,laermer yep three thing good haircut ability listen value taking seriously
1105,1,ah lovely day bike ride cake making is rooting revising best x
1106,0,know saying fuck it i m horny hell http twurl nl qcjc
1107,1,conorp yes one final party better make good one much mpre stuff got go
1108,1,cowpunkmom sweet deal want see movie methinks may star trek movie night time hmm
1109,0,waking ungodly hour go work starting get old least coffee good
1110,0,fairyfroggie yeah i m sad quot ravenclaw quot account love account bit
1111,0,going yum dinner watch bad girlfriend play am call time tomorrow
1112,1,rockin minivan til sti ready miss already
1113,1,delicious pav bhaaji finely chopped onion little dash lemon yummy
1114,0,dj cm drink enough hangover tired worked
1115,0,stay away home since part india dnt hav gud wireless internet im fucked
1116,0,wiffleball damn
1117,0,lowestformofwit
1118,1,vampire knight music feel special
1119,0,maxicatimus mile essex give plenty warning arrive time get least one free beer
1120,0,upsidedown tomato plant died
1121,0,charlieks tonita face emmaleeks nana wish last night
1122,0,shit lost star trek ring starfleet academy class ring w golden gate bridge it got high school graduation present
1123,1,michaelmagical warmfuzzies you friend
1124,1,celia brad finished lol
1125,1,exploring twitter s world
1126,1,sweetnote smooch well great day
1127,0,played like game dota hahaha wanna go home
1128,1,kusuma aaa new follower hiii
1129,1,going sleep big beach day tommorow love guy nite
1130,0,effort time put relationship people learn enough trust anyone
1131,1,haciendo mi primer app con thin rack crazy stuff
1132,0,start work missing like crazy i wont seeing till tuesday
1133,0,oww can t even describe much back hurt going go stupid doctor
1134,0,gotenkslovesme haha yeh lol maybe missed last roadshow cause rain
1135,0,oliviamunn pretty lame babe
1136,0,getting hair done missing
1137,1,chrisdjmoyles get lol time eating id hate late
1138,1,baybeehdoll u miss lol
1139,0,bk ii choice get it
1140,0,wynstonfernando take class fall cool though im okay
1141,1,listening weightless time low thanks katarinahj making listening it
1142,0,sickkkk and need now
1143,1,industrial repierced made cute little friend
1144,1,poisonivy fine thanks long till christmas i m excited
1145,0,scouserach today rach
1146,1,dream world battle evil spork horde later folk
1147,1,meeshthebeast dee mack talking baby almost grown up
1148,0,can t go movie today
1149,1,found prom dress
1150,1,great night tomorrow mother day
1151,0,tbh credit phone sux cant even text people see what s happening like totally grrrsville
1152,1,joining twitter added random person
1153,0,sick chilling tonight watching desperate housewife
1154,1,karolinepaixao epic moment hahahha swear really wanna see
1155,0,designerdepot thanks adding befriending no uh oh never mind thanks
1156,1,sooo pleased sun shining today garden come
1157,1,restoring new itouch excited use it yeeeeeeeee goodbye itouch
1158,1,thank advice work im work
1159,0,agentwill want tell think body odour
1160,1,rainstopper lok ef too jummy
1161,1,darklord ohh fun night slime miss place
1162,0,runny nose can t breathe terrible feeling
1163,1,later normal morning got attacked swarm mini fly s opening veranda last night took hour get rid
1164,1,jaimemcknight yay mark issue too you ll find lot issue lmao
1165,1,heard basment jaxx s new song quot raindrop quot that s fantastic make dancing can t wait fuji rock festival
1166,0,summerxoxo that s exactly feel hope start feeling better soon
1167,1,bbq andrew sister jeff much fun
1168,1,fantastic weekend hairdresser stylish luncheon amp fabulous girlie night wine cheese amp chocolate and dancing till morning
1169,0,donniesgirl yes blame
1170,1,owenong look good making hungry boy stll asleep
1171,0,lil kimmeh too miss it i however humpthestump rest life
1172,1,penpen haha true thankfully regular keyboard job time
1173,1,jpblogger nothing like quot rocknrolla quot another good film rock title
1174,0,whenever rain hard get motivated
1175,1,tiny oh no guess officially big nerd now heard movie great even like trek
1176,0,ohcherub yeah know mwan
1177,1,still mother day lunch uncle house nice time
1178,0,awww wonder ima get married shawna damon cute
1179,0,courtpet oh sweet definitely check get chance
1180,0,ouuuuuuuuuchhhhhhhh still hurting barca spanking
1181,1,supper tonight kurumi minute
1182,1,uhandbag enjoyed peg bag adapted design tote bag bit cuter normally
1183,1,way homee love long car ride lt
1184,1,lindsayslifee look nice atleast haha lt
1185,0,danisometimes sadness could hang feel less apathetic
1186,0,finally going bed staying reading script quot remember me quot sad sooo good happy mother s day mother s
1187,1,work britad yay
1188,0,birthday over
1189,1,headed today shopped mother s day gift love b amp bw new scent finished book bought yesterday
1190,1,mrstreme thanks much back tour soon two new book pipeline
1191,1,happy mother s day god mother s step mother s too
1192,0,feel sick stomach idkk whyy
1193,1,pink congradts ur show even tho wasnt lol
1194,0,thodwris rip michael
1195,1,scottrmcgrew dancing pirouette ballerina hug morning awesome brudder
1196,0,wethehunter sun florida it s rainy cloudy
1197,0,screwed sat u
1198,1,natsnapper thanks little girl love animal oohs aahs cute
1199,1,filthydukes yeah thanks pair git hope mega like bus
1200,1,jomanlk trying best make luck
1201,0,omg time sleep today horror really hope best weekend goodnight buddy
1202,1,ambercadabra wow watched movie age quite fantastic
1203,0,could kill him hollyoaks made sad
1204,0,bless little girl bgt
1205,0,cal dachshund rescue found home foster pup max soooooo sad see leave
1206,0,emulley missed today i know must feel tired give massage tonight
1207,1,watched yes man bahaha movie messed
1208,0,again wish could share problem someone
1209,0,mr bates left
1210,1,goodnight everyone happy mother day mother
1211,0,lolzyluvsjb neither could i looked ebay like euro two doubt parent would fork amount
1212,1,sun shining great day
1213,1,happy mother day mom
1214,0,johnpopham morning john yes do however diary clash sadly can t attend
1215,1,onti fun tonight
1216,1,hour shopping over good effort best part chocolate shop yujm yum even
1217,0,xnicoleex yeah sorry busy last night ill try go next week
1218,1,gemstwin granny linda happy
1219,1,still working database trying decide want eat
1220,1,dannywood lol good morning ran milles amp hit gym great day
1221,0,hurt foot
1222,1,ok peep good morning going bed clickedapps hit later
1223,1,finishing giraffe getting sleep super excited tomorrow
1224,0,return joy co tired tired inspire weary eyed see ire irony
1225,0,spent morning watching eddie izzard s glorious funny realli shud hav studied thou
1226,0,listing sad song sad
1227,0,everytime send email coach feel need practice shitty ball lol
1228,0,chantalclaret d get hate tweet that s sasd
1229,0,bored well like one see havent got friend
1230,1,surprise party today party tomorrow funfunfun but need finish bug project o o
1231,1,journo at work agree totally think though take point everton liverpool beat man city happy day
1232,1,trying sweet lil ipod totally nerding out and totally ok
1233,0,stereophonics http twitpic com p well done guy gonna miss tweet
1234,1,lizziechristine thank much miss toooo
1235,1,day till birthday hope weather good best good thursday friday otherwise il scream happy b day keiron
1236,0,allysonbrianna well yeah mom wanna drive way sac far away
1237,1,celebrated play last fm dez moines tdwp http bit ly gwuhx
1238,0,everything going wrong quot happy day quot
1239,0,fudgecrumpet saw deforestation so surprised bad back mrsfudgecrumpet moan back you lol
1240,0,going sleep now gt happy mother s day amp happy birthday me
1241,1,under control aw babyy sorry gots excited haha lt
1242,0,iamdiddy sad roommate fry chicken every night finished tonight s batch
1243,1,rkuang know right super excited told y all busiest time year
1244,0,tummy ache
1245,1,howie d really happy u n leigh thnx sharing happiness u mean world u all love ya marta
1246,1,feeling great
1247,0,adriandanganan clay aiken get autograph
1248,0,ugg want go kaylen house cant finna bored weekend uuurgg wanna spend da nite go see go shopping
1249,0,kattekrab tango icon revision
1250,1,maliamorgan thanks following
1251,1,bunnymousekitt hahaha yes discussion always seem jump around randomly
1252,1,chicagogirl gotcha place atlantic side better surfing plus like close crazy foreign restaurant mmm fl
1253,1,got eminem tix friday
1254,1,solkana want see quot too fast transport second quot
1255,1,archiedineros yup stayed end exciting
1256,1,legmin http twitpic com jaz cool luv
1257,1,ppittman old comfy like worn sweat said love sarcastic heart muster
1258,0,home feel like going work tomorrow
1259,1,hanging bff jasminewho today ya ya amandababby old friend prayer hope experience help
1260,1,bryan sweet didnt think gonna talk towards end night talked
1261,0,crisis forgot fringe comb men no one help
1262,1,stephhh awww heard sweetest guy fan
1263,0,naontiotami no missed
1264,0,razitul ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though
1265,1,feeling really good performance ap government amp politics exam morning going lunch krista
1266,1,trekkerguy yeah seen review great review surprised me getting ticket tonight
1267,0,going busy day suck cause wanted spend time someone earlier today
1268,0,hmmm lovely wish now tired can t sleep
1269,0,well official strep
1270,0,arnteriksen exactly day are man buried followfriday
1271,1,happy star war day unbelievable
1272,0,maybe take drinking again feel massive hangover still yself today
1273,0,buffalolass sorry want call aim couple hour need vent
1274,1,violent fightclub like sex dream involving heavily tattooed lady wanna wake up lol
1275,0,lbutterworth know twitter depressing tonight
1276,0,killer coming td banknorth boston pm and can t go everyone else go though ticket sale sat
1277,1,clockworkmelt lol feel like drunk right now
1278,0,outside jo tak nic
1279,0,godfatherobie work missed everythin yesterday know wot anybody
1280,1,birthday week today
1281,1,bed eating chocolate super party yay playing new camera could amazing photographer
1282,1,dvnt cheer wish font play
1283,0,sound like there s party street guess forgot invite
1284,1,played mythic brawl order get good screenshot instead got perfection
1285,1,cold rock choc mint bubblegum cookie flake nerd yum xd fun day
1286,1,done photo album im good person make quite private now pity ben haha
1287,0,none people talk p e class going bored period
1288,0,heavenlyriot girl confusing
1289,0,bad day got worse
1290,0,nataliejanette im jealous im going blogher
1291,1,really cool put topic twitter show if tweeter twittering twit u got luv http bit ly anw
1292,1,chromasia saw tweet minute going lunch decided skip today thanks saving money speedy recovery
1293,1,http twitpic com qfl haha love
1294,0,bah day ending nicely began
1295,0,head starting ache again reinstall operating system computer
1296,0,joelmadden applaud accepting gay marriage rels born hate it
1297,1,aligomm wow cool that guess haha get another follower
1298,1,dollhouse saved coming back another season bad scrub
1299,1,watched sex amp city season amp drank little wine w date just ended w goodnight kiss could get used night night
1300,0,ice cream crazy mocha s mean espresso milkshake
1301,0,ok shopping far fun unpacking bag
1302,1,want welcome melizadeleon back plurk again http plurk com p rppo
1303,1,picked copy printed brochure bwrc excited
1304,0,sophhs cool tempted see feel sorry jb though hardly people
1305,0,sigh last day work sadifying heartparts
1306,1,love job getting real sleep icing birthday cake morning
1307,0,anant unfair good rock show happen b lore pune
1308,0,thinking life dream seem appealing give up im jealous every band artist living
1309,1,happy star war day
1310,0,internet big fail today twitter usual semi flaky self facebook vrbo com boo
1311,0,davewares working day weekend over aah well another one coming week
1312,0,ugh soooo much work today trying make train game looking like hour sunday office
1313,1,star trek hd impressed beam spotty
1314,1,shakeitblueyes good
1315,0,also toy story teaser carmike said would toy story movie theater fail
1316,1,sambennington cool hi sam you
1317,1,mandydean thanks mandy good sister are krikkert may true unfortunately road tire can t say same
1318,0,finally school day ended friday friday friday wt raining outside
1319,1,princejamir thanks follow bro
1320,0,bimbler much work drink now love afternoon pub
1321,1,wanna see jb d movie experience wanna quot touch quot joe hehehe
1322,0,pinksealight oh lucky u need send mine away get fixed
1323,1,serenajwilliams hi serena want say good luck madrid paris month
1324,0,oops forgot barbecue work today need pack lunch
1325,0,got nothing witty tweet
1326,1,jb cute lmfao giggle
1327,1,oh radio amazing yesterday
1328,0,heeder s monday well absolutely plan weekend
1329,0,looking special girl im fed bein hurt
1330,1,goldenboyluke sure go blog today check friend bet new one today
1331,1,enjoy laker game guy since work
1332,1,excited rove tonight jennifer garner gina riley
1333,1,tenotch awesome glad like it fyi platinum note free upgrade summer
1334,0,sleep deprived hot sleep
1335,0,full moon lovely friend family b day wish came true lt addition gray matter one cutest movie ever
1336,0,got ill tomorrow iï¿½ve got birthday
1337,1,allicandy testing hey gotta add someone follow
1338,0,stomach effing hurt sadly there ll gym class afternoon
1339,1,great weekend john back work day going illinois thurs amp fri gig john
1340,1,leeyecandy hahaha think pretty far me maybe next time though
1341,0,linkedinbrian unfortunately nowhere near beach fam area too
1342,1,jasonbradbury nice jet ski testing hope book going well cheer adding me got twitter watching gadget show
1343,0,livinghandy de stay tuned http www livinghandy de
1344,0,bad friend
1345,0,want hear voice
1346,1,spending time mommy later today
1347,1,jrathburn good mornin jason ready fresh new week well
1348,0,oh pw done wrong signing time ur child s article wrong and neil gaiman tease me bea
1349,1,mrspinkyivory hey pinky ordered stuff site gave me got yesterday mail pretty thanks
1350,1,kayemeff almost birthday
1351,1,got home bought twiggies toothbrush promise make teeth cleaner http tweet sg
1352,0,best day work best weekend ahead hopefully someone go usc with
1353,0,freaking tired like body refuse move
1354,0,creationswheart ive wanting gone mo amp close shop
1355,1,kristenstewart wow can t believe u reached facebook limit friend crazy
1356,0,itxi itx credit unfortunately
1357,1,danacea happy star war day
1358,0,feel like drinking wine any
1359,1,last day holydays gotta get back work anyway great week
1360,0,last night bottle wine house cocktail came home sober still gonna sick
1361,1,okay day hanging brianna saelina good
1362,1,definitely need work business trip much free food alcohol sure gained pound
1363,1,headed wmc day hopefully enough time swing chinatown way home mood duck
1364,0,annieareyouohk no annoying make u girl follow sport knowledgable look dumb
1365,1,hmm osaka last show today very sad decode ur msg haha cant wait till u get sydney d missed ticket tho o xx
1366,0,hate waking early need make hr pharmacy class gt sighhh news breakfast time
1367,0,need speak sofiedeville left phone home
1368,0,gonna miss gurl shes honeymoon
1369,0,know told didnt want stay home lied really want stay home
1370,0,omgamandanicole dedicated song vw sold
1371,1,wooo recovering running race life yest managed min sec bad absolutley trianing
1372,1,gfalcone def cheese onion however back state month finding bag salt amp vinegar they tasted great
1373,1,leahita sweetie lucky too liberty
1374,0,msalonen feel like truck hit too also resemble man hit truck
1375,1,tyleigh thanks hope find job soon oh almost forgot landed role indie flick first audition ever lol
1376,1,clarrisani thank approving application twa forum honey keep good work
1377,0,awesome time gotmeet brandon rhyder unfortunatly can t sleep n tomorrow back ole job pattymlt got game face on
1378,0,phyllis hyman unsung story sad
1379,0,im wishing weekend go sol
1380,1,woman science amp technology conference la jolla interesting day met really great people
1381,0,suck playmate mia weekend sad
1382,1,wake early goddam last day bummer
1383,1,walmart playing hide seek
1384,0,aaahhhh poor chop pig
1385,0,gleeding need tickettttt gah ya got there reason listened dear elliott week overdue
1386,0,work tired want go bed
1387,1,zooeyde nice able following twitter
1388,0,raning really bad
1389,0,gonna happen
1390,1,averaged per hour work today gotta love holiday
1391,0,im in the room im watching the hannahmovie withmom she said this film very great
1392,1,feeling like romeo juliet bryant wallinwood montagues capulets fb
1393,1,oh oh going shopping best friend today yaay going much fun need get alot new clothes
1394,1,dahntay omg dunk dampier massive big ups love it
1395,1,allyycase suuure
1396,1,sitting outside laptop kinda nice
1397,1,watching twilight lt watching audio commentary sooo funny
1398,1,girlusocrazy lol girl cannot stop student can t afford pop eyeshadow hooked
1399,1,still pumped concert saturday come
1400,0,wrong button music biz building is
1401,1,happiest girl world best weekend ever can t wait next weekend either grateful blessing
1402,1,beautiful morning nice
1403,0,hammett wish could time xbox project tied
1404,0,sad news week hospital uncle past away today r i p uncle tony
1405,1,vewe haha hope u great laugh laughter best medicine
1406,0,rd day pain
1407,0,sure wish mind could enter box called quot nothing quot men have brain go there exhausting
1408,0,way sleepy awake
1409,1,nighty night ya ll tweet dream
1410,1,sadie marie better hudgens omg song came shuffle would city high
1411,1,everyone get buckonellen one topic thing
1412,1,am feeding baby fun smile coo
1413,0,brran hey you ever pre order sims sad im poor get right
1414,1,paula deen look like delicious recipe try tonite
1415,1,bunnydrumming hi bunny recently subcribed channel youtube make great stuff kinda wanted say hi
1416,0,confused amp sad oh come quot sweet quot cheer
1417,1,djnvs lol u go that s spirit haha
1418,1,doperahstyles chillin promoting muzik not eating lmaao
1419,0,far vigorous pruning regretting removal many cucumber flower cucumber plant
1420,0,put dog tomorrow
1421,0,maestro wanted dm back cuz following thanks anyways maybe ill see ya around elle ay
1422,0,patio weather kirkland also launch yer boat weather except missing boat part
1423,0,mitchelmusso http twitpic com swx wish calling can t malta
1424,1,raining fine rain u know fine rain wet
1425,0,never get followfridays
1426,1,mooorning friday that s terrific smile up d
1427,0,heading graduation like this oh nick i ll looking you
1428,1,ckanal funny say am filling speak cheer
1429,0,missing ontario
1430,1,headed beach puppy maverick hug much aloha
1431,0,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol
1432,1,sayin good morning everybody office must say quot good morning you quot too greets charlotte nc usa
1433,1,babi pangang friend tomorrow working time
1434,0,mitchelmusso sad got money phone ahh well lly mitchel xx
1435,0,sweaty tired lap run gonna sun run next year matter what
1436,0,two dozen rose sent overnight delivered morning found recipient town sad
1437,0,going memorial guy grade died
1438,0,want cry thought nba season almost next year miami
1439,1,coxrocks ha lead singer gave high five got one guitar pic
1440,0,feelin hot
1441,0,millionfagmarch ah misunderstood message really dislike f word url good luck march
1442,0,miss dog r i p batman yeah batman i really hope all dog go heaven true
1443,0,littleisis time coming here want spend day mom
1444,0,lolzyluvsjb yeaa sad watched live performance peru etc epic wish come n i lol xo
1445,1,ashleynewcomb oh yeah lot rambly goodness lol mail bed early me probably insomniac huh
1446,1,munchin bacon butty woohoo faves
1447,0,mandyyjirouxx today mtv allow u vote
1448,1,joycsc thanks motivation returning rate inputting coffee
1449,0,ingek blip can t get work iphone
1450,0,ac building died like past day
1451,1,prayin dad wellington fl http loopt u f jqg t via furman live welly may pray f http bit ly lbsn
1452,1,tech animated thanks much everything do sorry hurting
1453,0,am can t sleep thought b c im hungry whipped pb amp j milk hopefully work
1454,0,good day havent good week forreal
1455,1,oohlalisa oh yes quite nice photoshop liep zojuist vast start painting rï¿½isï¿½ngs glove
1456,0,nptnmkiii many rule expect people human pic pfft good morning welcome another monday
1457,1,wortje bag look stylish congrats
1458,0,clubbing weekend due busted knee lt emo gt life s unfair lt emo gt
1459,0,alyssa milano local pet store get shut last something like that it s horrible animal go through
1460,0,melissa leah car wont start
1461,0,flu swinish one flu
1462,1,iced coffee christ tasted nasty
1463,0,redsoxgirl there sadly first rodeo dear suspect learned lesson
1464,1,ruthieor thanks
1465,1,caraciao haha s started yesterday dad helped much
1466,0,almost fell asleep hair dryer tired feel like going puke
1467,0,old internet fairly boring today nothing new
1468,0,sunny work
1469,1,flickr pic chester zoo danwtmoon posted photo quot welcome quot chester zoo jockey http tinyurl com cqqw
1470,1,kimble yeah jus glad thunder stopped
1471,1,nursing scratch bump festivus mud wrestling swear there s still dirt hair good time
1472,1,heeey heeey go read
1473,0,iï¿½m boring bad weather today watchingn alias fun boyfriend
1474,1,think sg wonderful
1475,0,kristinholder aww sad get go going away party stupid work
1476,1,ciaee yessir yessir three cheek full
1477,1,chynadollxo na friend why ask great physique lol
1478,0,pretty cold outside today got another exam
1479,1,katiesol re entered brain orbit thanks watching ryan reynolds mugging away quot just friend quot recently
1480,1,ordered new shirt
1481,1,twitter useful reminds people forgot ask given day also excellent inspiration
1482,0,http twitpic com p jthawthorne ohio lover tattoo got design shirt haha lost shirt
1483,1,elliottng congrats wife would oppose live tweeting birth sure
1484,1,catephoenix thinking deserve award big shiny one
1485,0,last friday high school year
1486,0,lisa nova lost sad u cause loved
1487,0,irishjonasfan lol making feel bad coming lol
1488,1,keza sound like kinda day
1489,1,little happy wine jeje ok it sm free time care jaja love day
1490,0,lula feeling well http tinyurl com mkcsq
1491,1,come join fun first pitch legend game may th pm http tinyurl com nkpuz
1492,0,oh no used internal sig external e mail damn fb
1493,1,moved new apartment exciting
1494,0,dans public transport decided everything north london that s utter crap southern train alright
1495,0,way early today work later
1496,1,thirtysix funnily enough roland president social club
1497,1,pjhoody quot it s birthday know wanna riiidddddeeee out quot fun club
1498,0,hello thank followfridays people always forget sorry
1499,0,joining facebeek loser friend amy you
1500,0,xxsteebiexx lol know wld like get reply seann william scott dont reply he one favourite actor
1501,0,ep problem adult shirt too annoying since lot adult player shirt come kid size
1502,1,snowbear finally come out congrats che warren
1503,1,baby god sad really oh well life partaaay xxxxxxxxxx
1504,1,monday morning bathing soooo relaxing lady luxury would start every day like
1505,1,back office hectic week weekend awesome
1506,0,slicksean love that and think easy think enthusiastic
1507,0,aianna nandiaramos sadly not no colleague work party
1508,0,well school s finally idk sad miss teacher goodbye mr r mr collister
1509,1,nice day and working
1510,0,there s something area make tonsil swell everyday get it feel slightly miserable ff done now
1511,1,khali blache night doze well
1512,0,listening music feeling kind
1513,0,took property
1514,1,kevinriley heh thanks adorable plug cough info at www samstephens com cough cough
1515,1,soulsistanindy someone do good morning
1516,1,missjerilee welcome twitter friend
1517,0,devon caught ate fly dont know swallowed fly guess die
1518,1,loving sun today even thought revising good day though kates afty shit day bless x
1519,1,sassyotaku enjoy nola definitely one favorite city world please beignet chocolate
1520,0,headache killing yet need cover boring police event
1521,0,dusted amp vacuumed apartment think need another new vacuum my entire apartment smoky bought one kmart
1522,1,happy star war day
1523,1,goody bagged car boot including cute cross stitch bird craft room man selling sweetie
1524,1,nice night golfing
1525,0,tearose wish could enjoy girl day
1526,1,heading home now yay going buy much needed bottle wine drink dinner wallet mia wine tonight
1527,1,whin park swing victory mine right
1528,0,tonight last night apartment
1529,1,faithfulchosen so so thanks uploaded new campaign vid post link min doing babe
1530,1,last late late pat kenny bless
1531,0,poor little mba fire
1532,1,artcon http twitpic com vfcx awesomeeeeee
1533,1,going ride perfect night go chill
1534,1,watching pianist dad great movie
1535,0,remnant missed everyone tonight
1536,1,gift myself published episode align re align sensitivity level min yoga class http bit ly qagh
1537,1,neilmcdaid look class water splash look real looking forward review copy
1538,0,happy
1539,0,yep lost bet chris
1540,0,think computer sick
1541,0,naiadrisa heh that s happened too hope rest week go better
1542,1,gnomeangel yep
1543,0,observation aside riverwalk pretty much cute girl downtown sa
1544,0,damn paid like first slightly stoopid show charge pop make sad
1545,0,never starbucks coffee entire life people keep making jealous
1546,1,great date last night tried find cdcaves daniel hilariously fun
1547,0,happy mother day feliz dia delas madres mine already heaven miss you
1548,0,corona bad craving mexican pastry go uptown get
1549,1,robm retweeted jesus post made laugh worry subliminal code
1550,1,shygamer zeralyn told ya ll good girl see halo everything
1551,1,choir assembly bad fucking hot yay
1552,1,back hospital doc say live
1553,0,simplysinister suck seriously hope feel better soon need come next week
1554,0,franksting yeah dry
1555,0,michelleweber never good time recourse small claim get atty involved
1556,0,pizza breakfast shower class
1557,1,happy star war day everyone celebrate family ok celebrating going round famo s
1558,0,morning woken neighbour s kid screaming garden am benevolent mood warned
1559,1,movie pretty interesting actually gonna finish watching it probably seeing star trek tomorrow lt zq lol
1560,0,watching quot all king men quot pretty good far
1561,1,great study time followed delicious japanese meal arty now trying get back study mood
1562,0,subray put right scrambled egg breakfast fartingloud
1563,0,im sad right becuz lady
1564,1,khanserai thank hope great day
1565,1,firefly weekend scifi channel happy man
1566,1,watched adaptation interior woman all good movie night breakfast dad kelley morning
1567,0,dorritos repressd get migranes repressd leaf either arthritis and or gout
1568,0,evermore amp end fashion rock poor foot though oww injured foot good sore tomorrow detail follow later
1569,0,http twitpic com h yd drive within foot green nd time playing hole count though bcit golf
1570,1,cohoons world lol poor cubby brewer roll ranger lost leaf won
1571,1,free unlimited ringtones http tinyurl com freeringring usa awesome iphone
1572,1,twas good show even liked ciara s last song time go bed g night
1573,1,happy google wave trending can t watch video it certain flash video blocked company s network
1574,1,orli snapily famous houston take look http is gd ysah
1575,1,perfect day throw back head kiss good bye love it cheerful http blip fm jckp
1576,0,apparently meant take dance lesson
1577,0,bad day
1578,0,wanna go back work sleepy time
1579,1,albz oh man wanna bay asap thank great day
1580,0,jaymiealyson mean give lol finger crash car lol jk thats bad ignore
1581,1,wildcurl well still can t wait one shot
1582,1,found ride yes liquor come
1583,1,dance gavin dance attack attack a skylit drive tonight exciteddddd
1584,1,omg mummy bought ice cream
1585,1,got bit neckache going hard not going home alternative night mean to nearly
1586,0,sisser moving tomorrow make sad actually guess technically couple hour since already friday
1587,0,jacobmaestas think ever one
1588,1,efteling great nice time family dinner forget key car hmmm bless anwb back germany
1589,0,karleemay kelly horror movie obsessed esp campy s film troma wish work tomorrow
1590,0,decaydance nothing
1591,1,drink pm leaving shop medium light coffee frappuccino nom nom nom
1592,1,home tonight much fun goodnight twitterbugs
1593,0,supernatural http twitpic com k awwww poor boy cry sad
1594,1,followed compliance great watch say now
1595,1,sunburned face amp leg fixing arm tooo
1596,1,am wanna wake up shoo roommate shoo
1597,0,dam finished watching prison break final break omg dont think cried hard show finally understand finale
1598,0,rained ever day miami since here
1599,1,degree tear happy moment http mypict me zpf
1600,1,used last dvd r window iso next batch lightscribe dicsc want see work
1601,1,smoking maryjane favorite thing speaking ima name daughter maryjane lakoda lakoda mrijuana latin lt
1602,1,hannahsukter anywayss point dying spend summer somewhere hot guy
1603,1,ilanrubin freaking awesome job tonight seem really lot fun picture wanna send you
1604,0,nobody write
1605,0,mediatemple mt awful ftp service
1606,0,beautiful day today love sunshine missing man though away weekend xxxx
1607,1,ton update including pic rob yesterday check www robsessedpattinson com
1608,1,yay jumeau bag giveaway instantshift bag pretty maybe belt see
1609,1,listening band recommended sarrah really like friday night boy lt
1610,0,pilmorelee beggar making feel homesick
1611,0,like waiting
1612,1,got subponea
1613,1,b luca lol glad see one there
1614,1,decadentdecay chica two day want u elle too
1615,1,sunday morning realised im film snob said msn entertainment
1616,0,im slowing tweet cuase lost phone
1617,0,falselove oh that s good top are haunted house sound one bakery inside ralphie s body amp forget
1618,1,u friendster add me email adress add loco crime st yahoo com add leave comment
1619,0,ex make cry wish stronger
1620,0,heritagesoftail hahaha miss bradddd guy keith
1621,1,covering portfolio send dream job ny send good vibe
1622,1,toffeetfb wa great day
1623,1,aboutlittlerock wow mhenslee constantly ranting love genghis grill too never there colorado
1624,1,wango tango good night
1625,0,kylehamilton wow saw tweet proflowers fiasco that s fun
1626,1,hmmm thinking taking back feel better morning think spoke early
1627,1,starbucks farrah
1628,0,jerryaz definately hard time cuz young amp never saw this wrkd hard making car amp disabled
1629,0,sell medieval trading pavillion v sad
1630,1,made south korean email pal happy
1631,1,almost dun choreographing dance
1632,0,duncan finally got order leaf iraq september open invite stay anytime year gone
1633,1,http twitpic com jdkq got new belt sheriff star
1634,1,oh andremichelle s birthday happy birthday andre michelle
1635,1,yaaaawwwwnnnn thx bank holiday let s see today prepared u
1636,0,brookeleeadams gutted live office girl anymore
1637,1,scottrmcgrew honey great health
1638,0,jodywhitesides sorry missed it
1639,1,feel accomplished got lot done today http plurk com p stns
1640,0,nite tweeple tomorrow day work
1641,0,leg fucking sore foot hurt walk whataday
1642,0,hot shower make everything better need sumbody tuck in ugh miss gramma
1643,1,frozenthesword yay hope day work wonderful si bank holiday england today everyone work
1644,0,gonna life good exit hallway stuck world
1645,0,oh no read going remake girl wanna fun stop hollywood just stop
1646,1,filce haha know cant handle fame thank you
1647,1,turch aww congrats family send piccies email
1648,0,jennjolie yep b automatic u fall someone person or smthng like that way suck
1649,1,westendactress haha miine
1650,1,twikini enjoying sun
1651,0,micahjosiahd really going miss
1652,1,hit leaving conti boooooooo
1653,1,jefftracey forward starting teaching new student hypnosis plenty laugh sure
1654,0,ugh delivery postponed shes baby til work
1655,0,gonna cry went bad history test really hate history
1656,0,good morning kid going back school sick day looking forward productive week happy monday
1657,0,feeling great today
1658,1,wishing everyone blessed amp beautiful mother s day
1659,0,many good show coming money buy ticket fmfl brand new troub
1660,1,louiiseeeeee lmfao omgosh first heard song you i felt like gonna pee myself omgosh waltzer man lol xoxo
1661,1,thanks raspberry laced vanilla cake
1662,0,suncito hi there got comp early last nite saw u feeling well hope u r better
1663,0,love movie grease can t believe jeff conaway guy played kenickie so sad see celebrity rehab
1664,1,ughhh think plan ruined excited too
1665,1,got done working out relaxing work
1666,1,welcoming cimmarongirl proud
1667,1,sold bike faster expected running size luckily single speed ocean now eta eo june
1668,1,maddiewan maddie start working watch world
1669,1,paigeebaby hahahah lols fun aye div experience love spongebob l
1670,1,xanthetwirls saw ur chance else would name think b missing nite too thank god youtube
1671,1,tifftiff sad glad
1672,1,monicafrancesca congratulation woootwoooo ginoboi great game nakaka hyper kayo
1673,0,epiphanygirl man missed it ive waitn day u giv tix away amp whn im rappn wrk u gav tix away im sad
